Team Name,Year,Wins,Losses,OT Losses,win,Goals For(GF),Goals Against(GA),+ / -
Winnipeg Jets,1993,24,51,,0.286(danger),245,344,-99(danger)
Mighty Ducks of Anaheim,1994,16,27,,0.333(danger),125,164,-39(danger)
Boston Bruins,1994,27,18,,0.562(success),150,127,23(success)
Buffalo Sabres,1994,22,19,,0.458(danger),130,119,11(success)
Calgary Flames,1994,24,17,,0.5(success),163,135,28(success)
Chicago Blackhawks,1994,24,19,,0.5(success),156,115,41(success)
Dallas Stars,1994,17,23,,0.354(danger),136,135,1(success)
Detroit Red Wings,1994,33,11,,0.688(success),180,117,63(success)
Edmonton Oilers,1994,17,27,,0.354(danger),136,183,-47(danger)
Florida Panthers,1994,20,22,,0.417(danger),115,127,-12(danger)
Hartford Whalers,1994,19,24,,0.396(danger),127,141,-14(danger)
Los Angeles Kings,1994,16,23,,0.333(danger),142,174,-32(danger)
Montreal Canadiens,1994,18,23,,0.375(danger),125,148,-23(danger)
New Jersey Devils,1994,22,18,,0.458(danger),136,121,15(success)
New York Islanders,1994,15,28,,0.312(danger),126,158,-32(danger)
New York Rangers,1994,22,23,,0.458(danger),139,134,5(success)
Ottawa Senators,1994,9,34,,0.188(danger),117,174,-57(danger)
Philadelphia Flyers,1994,28,16,,0.583(success),150,132,18(success)
Pittsburgh Penguins,1994,29,16,,0.604(success),181,158,23(success)
Quebec Nordiques,1994,30,13,,0.625(success),185,134,51(success)
San Jose Sharks,1994,19,25,,0.396(danger),129,161,-32(danger)
St. Louis Blues,1994,28,15,,0.583(success),178,135,43(success)
Tampa Bay Lightning,1994,17,28,,0.354(danger),120,144,-24(danger)
Toronto Maple Leafs,1994,21,19,,0.438(danger),135,146,-11(danger)
Vancouver Canucks,1994,18,18,,0.375(danger),153,148,5(success)
Washington Capitals,1994,22,18,,0.458(danger),136,120,16(success)
Winnipeg Jets,1994,16,25,,0.333(danger),157,177,-20(danger)
Mighty Ducks of Anaheim,1995,35,39,,0.427(danger),234,247,-13(danger)
Boston Bruins,1995,40,31,,0.488(danger),282,269,13(success)
Buffalo Sabres,1995,33,42,,0.402(danger),247,262,-15(danger)
Calgary Flames,1995,34,37,,0.415(danger),241,240,1(success)
Chicago Blackhawks,1995,40,28,,0.488(danger),273,220,53(success)
Colorado Avalanche,1995,47,25,,0.573(success),326,240,86(success)
Dallas Stars,1995,26,42,,0.317(danger),227,280,-53(danger)
Detroit Red Wings,1995,62,13,,0.756(success),325,181,144(success)
Edmonton Oilers,1995,30,44,,0.366(danger),240,304,-64(danger)
Florida Panthers,1995,41,31,,0.5(success),254,234,20(success)
Hartford Whalers,1995,34,39,,0.415(danger),237,259,-22(danger)
Los Angeles Kings,1995,24,40,,0.293(danger),256,302,-46(danger)
Montreal Canadiens,1995,40,32,,0.488(danger),265,248,17(success)
New Jersey Devils,1995,37,33,,0.451(danger),215,202,13(success)
New York Islanders,1995,22,50,,0.268(danger),229,315,-86(danger)
New York Rangers,1995,41,27,,0.5(success),272,237,35(success)
Ottawa Senators,1995,18,59,,0.22(danger),191,291,-100(danger)
Philadelphia Flyers,1995,45,24,,0.549(success),282,208,74(success)
Pittsburgh Penguins,1995,49,29,,0.598(success),362,284,78(success)
San Jose Sharks,1995,20,55,,0.244(danger),252,357,-105(danger)
St. Louis Blues,1995,32,34,,0.39(danger),219,248,-29(danger)
Tampa Bay Lightning,1995,38,32,,0.463(danger),238,248,-10(danger)
Toronto Maple Leafs,1995,34,36,,0.415(danger),247,252,-5(danger)
Vancouver Canucks,1995,32,35,,0.39(danger),278,278,0(success)
Washington Capitals,1995,39,32,,0.476(danger),234,204,30(success)
Winnipeg Jets,1995,36,40,,0.439(danger),275,291,-16(danger)
Mighty Ducks of Anaheim,1996,36,33,,0.439(danger),245,233,12(success)
Boston Bruins,1996,26,47,,0.317(danger),234,300,-66(danger)
Buffalo Sabres,1996,40,30,,0.488(danger),237,208,29(success)
Calgary Flames,1996,32,41,,0.39(danger),214,239,-25(danger)
Chicago Blackhawks,1996,34,35,,0.415(danger),223,210,13(success)
Colorado Avalanche,1996,49,24,,0.598(success),277,205,72(success)
Dallas Stars,1996,48,26,,0.585(success),252,198,54(success)
Detroit Red Wings,1996,38,26,,0.463(danger),253,197,56(success)
Edmonton Oilers,1996,36,37,,0.439(danger),252,247,5(success)
Florida Panthers,1996,35,28,,0.427(danger),221,201,20(success)
Hartford Whalers,1996,32,39,,0.39(danger),226,256,-30(danger)
Los Angeles Kings,1996,28,43,,0.341(danger),214,268,-54(danger)
Montreal Canadiens,1996,31,36,,0.378(danger),249,276,-27(danger)
New Jersey Devils,1996,45,23,,0.549(success),231,182,49(success)
New York Islanders,1996,29,41,,0.354(danger),240,250,-10(danger)
New York Rangers,1996,38,34,,0.463(danger),258,231,27(success)
