Team Name,Year,Wins,Losses,OT Losses,win,Goals For(GF),Goals Against(GA),+ / -
San Jose Sharks,2005,44,27,11,0.537(success),266,242,24(success)
St. Louis Blues,2005,21,46,15,0.256(danger),197,292,-95(danger)
Tampa Bay Lightning,2005,43,33,6,0.524(success),252,260,-8(danger)
Toronto Maple Leafs,2005,41,33,8,0.5(success),257,270,-13(danger)
Vancouver Canucks,2005,42,32,8,0.512(success),256,255,1(success)
Washington Capitals,2005,29,41,12,0.354(danger),237,306,-69(danger)
Anaheim Ducks,2006,48,20,14,0.585(success),258,208,50(success)
Atlanta Thrashers,2006,43,28,11,0.524(success),246,245,1(success)
Boston Bruins,2006,35,41,6,0.427(danger),219,289,-70(danger)
Buffalo Sabres,2006,53,22,7,0.646(success),308,242,66(success)
Calgary Flames,2006,43,29,10,0.524(success),258,226,32(success)
Carolina Hurricanes,2006,40,34,8,0.488(danger),241,253,-12(danger)
Columbus Blue Jackets,2006,33,42,7,0.402(danger),201,249,-48(danger)
Chicago Blackhawks,2006,31,42,9,0.378(danger),201,258,-57(danger)
Colorado Avalanche,2006,44,31,7,0.537(success),272,251,21(success)
Dallas Stars,2006,50,25,7,0.61(success),226,197,29(success)
Detroit Red Wings,2006,50,19,13,0.61(success),254,199,55(success)
Edmonton Oilers,2006,32,43,7,0.39(danger),195,248,-53(danger)
Florida Panthers,2006,35,31,16,0.427(danger),247,257,-10(danger)
Los Angeles Kings,2006,27,41,14,0.329(danger),227,283,-56(danger)
Minnesota Wild,2006,48,26,8,0.585(success),235,191,44(success)
Montreal Canadiens,2006,42,34,6,0.512(success),245,256,-11(danger)
Nashville Predators,2006,51,23,8,0.622(success),272,212,60(success)
New Jersey Devils,2006,49,24,9,0.598(success),216,201,15(success)
New York Islanders,2006,40,30,12,0.488(danger),248,240,8(success)
New York Rangers,2006,42,30,10,0.512(success),242,216,26(success)
Ottawa Senators,2006,48,25,9,0.585(success),288,222,66(success)
Philadelphia Flyers,2006,22,48,12,0.268(danger),214,303,-89(danger)
Phoenix Coyotes,2006,31,46,5,0.378(danger),216,284,-68(danger)
Pittsburgh Penguins,2006,47,24,11,0.573(success),277,246,31(success)
San Jose Sharks,2006,51,26,5,0.622(success),258,199,59(success)
St. Louis Blues,2006,34,35,13,0.415(danger),214,254,-40(danger)
Tampa Bay Lightning,2006,44,33,5,0.537(success),253,261,-8(danger)
Toronto Maple Leafs,2006,40,31,11,0.488(danger),258,269,-11(danger)
Vancouver Canucks,2006,49,26,7,0.598(success),222,201,21(success)
Washington Capitals,2006,28,40,14,0.341(danger),235,286,-51(danger)
Anaheim Ducks,2007,47,27,8,0.573(success),205,191,14(success)
Atlanta Thrashers,2007,34,40,8,0.415(danger),216,272,-56(danger)
Boston Bruins,2007,41,29,12,0.5(success),212,222,-10(danger)
Buffalo Sabres,2007,39,31,12,0.476(danger),255,242,13(success)
Calgary Flames,2007,42,30,10,0.512(success),229,227,2(success)
Carolina Hurricanes,2007,43,33,6,0.524(success),252,249,3(success)
Columbus Blue Jackets,2007,34,36,12,0.415(danger),193,218,-25(danger)
Chicago Blackhawks,2007,40,34,8,0.488(danger),239,235,4(success)
Colorado Avalanche,2007,44,31,7,0.537(success),231,219,12(success)
Dallas Stars,2007,45,30,7,0.549(success),242,207,35(success)
Detroit Red Wings,2007,54,21,7,0.659(success),257,184,73(success)
Edmonton Oilers,2007,41,35,6,0.5(success),235,251,-16(danger)
Florida Panthers,2007,38,35,9,0.463(danger),216,226,-10(danger)
Los Angeles Kings,2007,32,43,7,0.39(danger),231,266,-35(danger)
Minnesota Wild,2007,44,28,10,0.537(success),223,218,5(success)
Montreal Canadiens,2007,47,25,10,0.573(success),262,222,40(success)
Nashville Predators,2007,41,32,9,0.5(success),230,229,1(success)
New Jersey Devils,2007,46,29,7,0.561(success),206,197,9(success)
New York Islanders,2007,35,38,9,0.427(danger),194,243,-49(danger)
New York Rangers,2007,42,27,13,0.512(success),213,199,14(success)
Ottawa Senators,2007,43,31,8,0.524(success),261,247,14(success)
Philadelphia Flyers,2007,42,29,11,0.512(success),248,233,15(success)
Phoenix Coyotes,2007,38,37,7,0.463(danger),214,231,-17(danger)
Pittsburgh Penguins,2007,47,27,8,0.573(success),247,216,31(success)
San Jose Sharks,2007,49,23,10,0.598(success),222,193,29(success)
St. Louis Blues,2007,33,36,13,0.402(danger),205,237,-32(danger)
Tampa Bay Lightning,2007,31,42,9,0.378(danger),223,267,-44(danger)
Toronto Maple Leafs,2007,36,35,11,0.439(danger),231,260,-29(danger)
Vancouver Canucks,2007,39,33,10,0.476(danger),213,215,-2(danger)
Washington Capitals,2007,43,31,8,0.524(success),242,231,11(success)
Anaheim Ducks,2008,42,33,7,0.512(success),245,238,7(success)
Atlanta Thrashers,2008,35,41,6,0.427(danger),257,280,-23(danger)
Boston Bruins,2008,53,19,10,0.646(success),274,196,78(success)
Buffalo Sabres,2008,41,32,9,0.5(success),250,234,16(success)
Calgary Flames,2008,46,30,6,0.561(success),254,248,6(success)
Carolina Hurricanes,2008,45,30,7,0.549(success),239,226,13(success)
Columbus Blue Jackets,2008,41,31,10,0.5(success),226,230,-4(danger)
Chicago Blackhawks,2008,46,24,12,0.561(success),264,216,48(success)
Colorado Avalanche,2008,32,45,5,0.39(danger),199,257,-58(danger)
Dallas Stars,2008,36,35,11,0.439(danger),230,257,-27(danger)
Detroit Red Wings,2008,51,21,10,0.622(success),295,244,51(success)
Edmonton Oilers,2008,38,35,9,0.463(danger),234,248,-14(danger)
Florida Panthers,2008,41,30,11,0.5(success),234,231,3(success)
Los Angeles Kings,2008,34,37,11,0.415(danger),207,234,-27(danger)
Minnesota Wild,2008,40,33,9,0.488(danger),219,200,19(success)
Montreal Canadiens,2008,41,30,11,0.5(success),249,247,2(success)
Nashville Predators,2008,40,34,8,0.488(danger),213,233,-20(danger)
New Jersey Devils,2008,51,27,4,0.622(success),244,209,35(success)
New York Islanders,2008,26,47,9,0.317(danger),201,279,-78(danger)
New York Rangers,2008,43,30,9,0.524(success),210,218,-8(danger)
Ottawa Senators,2008,36,35,11,0.439(danger),217,237,-20(danger)
Philadelphia Flyers,2008,44,27,11,0.537(success),264,238,26(success)
Phoenix Coyotes,2008,36,39,7,0.439(danger),208,252,-44(danger)
Pittsburgh Penguins,2008,45,28,9,0.549(success),264,239,25(success)
San Jose Sharks,2008,53,18,11,0.646(success),257,204,53(success)
St. Louis Blues,2008,41,31,10,0.5(success),233,233,0(success)
Tampa Bay Lightning,2008,24,40,18,0.293(danger),210,279,-69(danger)
Toronto Maple Leafs,2008,34,35,13,0.415(danger),250,293,-43(danger)
Vancouver Canucks,2008,45,27,10,0.549(success),246,220,26(success)
Washington Capitals,2008,50,24,8,0.61(success),272,245,27(success)
Anaheim Ducks,2009,39,32,11,0.476(danger),238,251,-13(danger)
Atlanta Thrashers,2009,35,34,13,0.427(danger),234,256,-22(danger)
Boston Bruins,2009,39,30,13,0.476(danger),206,200,6(success)
Buffalo Sabres,2009,45,27,10,0.549(success),235,207,28(success)
Calgary Flames,2009,40,32,10,0.488(danger),204,210,-6(danger)
Carolina Hurricanes,2009,35,37,10,0.427(danger),230,256,-26(danger)
Columbus Blue Jackets,2009,32,35,15,0.39(danger),216,259,-43(danger)
Chicago Blackhawks,2009,52,22,8,0.634(success),271,209,62(success)
Colorado Avalanche,2009,43,30,9,0.524(success),244,233,11(success)
Dallas Stars,2009,37,31,14,0.451(danger),237,254,-17(danger)
Detroit Red Wings,2009,44,24,14,0.537(success),229,216,13(success)
Edmonton Oilers,2009,27,47,8,0.329(danger),214,284,-70(danger)
Florida Panthers,2009,32,37,13,0.39(danger),208,244,-36(danger)
Los Angeles Kings,2009,46,27,9,0.561(success),241,219,22(success)
Minnesota Wild,2009,38,36,8,0.463(danger),219,246,-27(danger)
Montreal Canadiens,2009,39,33,10,0.476(danger),217,223,-6(danger)
Nashville Predators,2009,47,29,6,0.573(success),225,225,0(success)
New Jersey Devils,2009,48,27,7,0.585(success),222,191,31(success)
New York Islanders,2009,34,37,11,0.415(danger),222,264,-42(danger)
New York Rangers,2009,38,33,11,0.463(danger),222,218,4(success)
Ottawa Senators,2009,44,32,6,0.537(success),225,238,-13(danger)
Philadelphia Flyers,2009,41,35,6,0.5(success),236,225,11(success)
Phoenix Coyotes,2009,50,25,7,0.61(success),225,202,23(success)
Pittsburgh Penguins,2009,47,28,7,0.573(success),257,237,20(success)
San Jose Sharks,2009,51,20,11,0.622(success),264,215,49(success)
St. Louis Blues,2009,40,32,10,0.488(danger),225,223,2(success)
Tampa Bay Lightning,2009,34,36,12,0.415(danger),217,260,-43(danger)
Toronto Maple Leafs,2009,30,38,14,0.366(danger),214,267,-53(danger)
Vancouver Canucks,2009,49,28,5,0.598(success),272,222,50(success)
Washington Capitals,2009,54,15,13,0.659(success),318,233,85(success)
Anaheim Ducks,2010,47,30,5,0.573(success),239,235,4(success)
Atlanta Thrashers,2010,34,36,12,0.415(danger),223,269,-46(danger)
Boston Bruins,2010,46,25,11,0.561(success),246,195,51(success)
Buffalo Sabres,2010,43,29,10,0.524(success),245,229,16(success)
Calgary Flames,2010,41,29,12,0.5(success),250,237,13(success)
Carolina Hurricanes,2010,40,31,11,0.488(danger),236,239,-3(danger)
Columbus Blue Jackets,2010,34,35,13,0.415(danger),215,258,-43(danger)
Chicago Blackhawks,2010,44,29,9,0.537(success),258,225,33(success)
Colorado Avalanche,2010,30,44,8,0.366(danger),227,288,-61(danger)
Dallas Stars,2010,42,29,11,0.512(success),227,233,-6(danger)
Detroit Red Wings,2010,47,25,10,0.573(success),261,241,20(success)
Edmonton Oilers,2010,25,45,12,0.305(danger),193,269,-76(danger)
Florida Panthers,2010,30,40,12,0.366(danger),195,229,-34(danger)
Los Angeles Kings,2010,46,30,6,0.561(success),219,198,21(success)
Minnesota Wild,2010,39,35,8,0.476(danger),206,233,-27(danger)
Montreal Canadiens,2010,44,30,8,0.537(success),216,209,7(success)
Nashville Predators,2010,44,27,11,0.537(success),219,194,25(success)
New Jersey Devils,2010,38,39,5,0.463(danger),174,209,-35(danger)
New York Islanders,2010,30,39,13,0.366(danger),229,264,-35(danger)
New York Rangers,2010,44,33,5,0.537(success),233,198,35(success)
Ottawa Senators,2010,32,40,10,0.39(danger),192,250,-58(danger)
Philadelphia Flyers,2010,47,23,12,0.573(success),259,223,36(success)
Phoenix Coyotes,2010,43,26,13,0.524(success),231,226,5(success)
Pittsburgh Penguins,2010,49,25,8,0.598(success),238,199,39(success)
San Jose Sharks,2010,48,25,9,0.585(success),248,213,35(success)
St. Louis Blues,2010,38,33,11,0.463(danger),240,234,6(success)
Tampa Bay Lightning,2010,46,25,11,0.561(success),247,240,7(success)
Toronto Maple Leafs,2010,37,34,11,0.451(danger),218,251,-33(danger)
Vancouver Canucks,2010,54,19,9,0.659(success),262,185,77(success)
Washington Capitals,2010,48,23,11,0.585(success),224,197,27(success)
Anaheim Ducks,2011,34,36,12,0.415(danger),204,231,-27(danger)
Boston Bruins,2011,49,29,4,0.598(success),269,202,67(success)
Buffalo Sabres,2011,39,32,11,0.476(danger),218,230,-12(danger)
Calgary Flames,2011,37,29,16,0.451(danger),202,226,-24(danger)
Carolina Hurricanes,2011,33,33,16,0.402(danger),213,243,-30(danger)
Columbus Blue Jackets,2011,29,46,7,0.354(danger),202,262,-60(danger)
Chicago Blackhawks,2011,45,26,11,0.549(success),248,238,10(success)
Colorado Avalanche,2011,41,35,6,0.5(success),208,220,-12(danger)
Dallas Stars,2011,42,35,5,0.512(success),211,222,-11(danger)
Detroit Red Wings,2011,48,28,6,0.585(success),248,203,45(success)
Edmonton Oilers,2011,32,40,10,0.39(danger),212,239,-27(danger)
Florida Panthers,2011,38,26,18,0.463(danger),203,227,-24(danger)
Los Angeles Kings,2011,40,27,15,0.488(danger),194,179,15(success)
Minnesota Wild,2011,35,36,11,0.427(danger),177,226,-49(danger)
Montreal Canadiens,2011,31,35,16,0.378(danger),212,226,-14(danger)
Nashville Predators,2011,48,26,8,0.585(success),237,210,27(success)
New Jersey Devils,2011,48,28,6,0.585(success),228,209,19(success)
New York Islanders,2011,34,37,11,0.415(danger),203,255,-52(danger)
New York Rangers,2011,51,24,7,0.622(success),226,187,39(success)
Ottawa Senators,2011,41,31,10,0.5(success),249,240,9(success)
Philadelphia Flyers,2011,47,26,9,0.573(success),264,232,32(success)
Phoenix Coyotes,2011,42,27,13,0.512(success),216,204,12(success)
Pittsburgh Penguins,2011,51,25,6,0.622(success),282,221,61(success)
San Jose Sharks,2011,43,29,10,0.524(success),228,210,18(success)
St. Louis Blues,2011,49,22,11,0.598(success),210,165,45(success)
Tampa Bay Lightning,2011,38,36,8,0.463(danger),235,281,-46(danger)
Toronto Maple Leafs,2011,35,37,10,0.427(danger),231,264,-33(danger)
Vancouver Canucks,2011,51,22,9,0.622(success),249,198,51(success)
Washington Capitals,2011,42,32,8,0.512(success),222,230,-8(danger)
Winnipeg Jets,2011,37,35,10,0.451(danger),225,246,-21(danger)
